NAME,ITEM_TYPE,KIND,DATE_TAKEN,CONTRIBUTING_ARTISTS,AUTHORS,FILE_EXTENSION,PATH,MEDIA_CREATED
1_01 Surf City,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_01 Surf City.ogg,
1_01 Viking Gods,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_01 Viking Gods.ogg,
1_01_fanatic-assault,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_01_fanatic-assault.ogg,
1_01_StandardFalling (3),OGG File,,,,,,,
1_02 Battle Of Lepano (Guns Drums and Steel remix) (2)_5ca0f4cc8761c,OGG File,,,,,,,
1_02 Battle Of Lepano (Guns Drums and Steel remix),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_02 Battle Of Lepano (Guns Drums and Steel remix).ogg,
1_02 Big Showdown in Neo Tokyo,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_02 Big Showdown in Neo Tokyo.ogg,
1_02 Defeat,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_02 Defeat.ogg,
1_02 Journey To Absolution (Electro Orchestral Mix),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_02 Journey To Absolution (Electro Orchestral Mix).ogg,
1_02 Mary Wells - My Guy,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_02 Mary Wells - My Guy.ogg,
1_02_fanatic-conquerer,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_02_fanatic-conquerer.ogg,
1_03 Battle of Lepanto,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_03 Battle of Lepanto.ogg,
1_03 King's Court (Guns Drums and Steel remix) (2)_5ca0f4cfa6afc,OGG File,,,,,,,
1_03 The Vogues - Five O'Clock World,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_03 The Vogues - Five O'Clock World.ogg,
"1_04 Europa Universalis IV - Main Theme (Guns, Drums and Steel remix)",OGG File,,,,,.ogg,"E:\Manually Sorted\OGG\1_04 Europa Universalis IV - Main Theme (Guns, Drums and Steel remix).ogg",
1_04 The First Crusade (Electro Orchestral Mix),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_04 The First Crusade (Electro Orchestral Mix).ogg,
1_04_fanatic-unreleased-rage,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_04_fanatic-unreleased-rage.ogg,
1_05 Crusaders Kings II - Main Title,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_05 Crusaders Kings II - Main Title.ogg,
1_05 Defeat,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_05 Defeat.ogg,
1_05 Elf Land,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_05 Elf Land.ogg,
1_05 Main Menu,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_05 Main Menu.ogg,
1_05 Our Kingdom Will Fall (Main Mix) (2)_5ca0f4d602bda,OGG File,,,,,,,
1_05 Ride Forth Victoriously (Guns Drums and Steel remix) (2)_5ca0f4d62778d,OGG File,,,,,,,
1_05 Ride Forth Victoriously (Guns Drums and Steel remix),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_05 Ride Forth Victoriously (Guns Drums and Steel remix).ogg,
1_05 Will You Love Me Tomorrow,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_05 Will You Love Me Tomorrow.ogg,
1_05_Delay (3),OGG File,,,,,,,
